visitor_id,visitor_type,step,timestamp,event_type,ride_name,queue_position,wait_time,details
P000,adventurer,6,2025-10-10T01:55:27.823073,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P002,impatient,6,2025-10-10T01:55:27.823122,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P005,family,8,2025-10-10T01:55:28.244907,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P009,family,11,2025-10-10T01:55:28.925249,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P010,impatient,10,2025-10-10T01:55:28.694480,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P011,explorer,9,2025-10-10T01:55:28.471247,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P013,family,11,2025-10-10T01:55:28.925270,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P016,adventurer,8,2025-10-10T01:55:28.244974,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P017,family,11,2025-10-10T01:55:28.925288,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P018,impatient,11,2025-10-10T01:55:28.925295,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P021,family,11,2025-10-10T01:55:28.925308,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P023,explorer,9,2025-10-10T01:55:28.471312,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P024,adventurer,9,2025-10-10T01:55:28.471320,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P040,adventurer,9,2025-10-10T01:55:28.471417,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P044,adventurer,9,2025-10-10T01:55:28.471440,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P048,adventurer,9,2025-10-10T01:55:28.471463,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P052,adventurer,9,2025-10-10T01:55:28.471511,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P057,family,11,2025-10-10T01:55:28.925455,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
