visitor_id,visitor_type,step,timestamp,event_type,ride_name,queue_position,wait_time,details
P000,adventurer,24,2025-10-11T03:27:07.181453,joined_queue,Ride1,8,,"{""ride_name"": ""Ride1"", ""queue_position"": 8}"
P000,adventurer,35,2025-10-11T03:27:07.317068,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 35, ""ride_id"": ""Ride1"", ""queue_len"": 9, ""patience_at_leave"": 14}"
P000,adventurer,64,2025-10-11T03:27:07.985567,boarded_ride,Ride1,,6,"{""ride_name"": ""Ride1""}"
P000,adventurer,99,2025-10-11T03:27:08.271338,completed_ride,,,,"{""previous_ride"": ""Ride1""}"
P000,adventurer,118,2025-10-11T03:27:08.430427,joined_queue,Ride1,9,,"{""ride_name"": ""Ride1"", ""queue_position"": 9}"
P000,adventurer,129,2025-10-11T03:27:08.535069,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 129, ""ride_id"": ""Ride1"", ""queue_len"": 8, ""patience_at_leave"": 14}"
P000,adventurer,130,2025-10-11T03:27:08.544949,joined_queue,Ride1,9,,"{""ride_name"": ""Ride1"", ""queue_position"": 9}"
P000,adventurer,137,2025-10-11T03:27:08.649478,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 137, ""ride_id"": ""Ride1"", ""queue_len"": 9, ""patience_at_leave"": 12}"
P000,adventurer,143,2025-10-11T03:27:08.736835,joined_queue,Ride1,10,,"{""ride_name"": ""Ride1"", ""queue_position"": 10}"
P000,adventurer,146,2025-10-11T03:27:08.767438,boarded_ride,Ride1,,6,"{""ride_name"": ""Ride1""}"
P000,adventurer,181,2025-10-11T03:27:08.835477,joined_queue,Ride1,8,,"{""ride_name"": ""Ride1"", ""queue_position"": 8}"
P000,adventurer,187,2025-10-11T03:27:08.841200,boarded_ride,Ride1,,6,"{""ride_name"": ""Ride1""}"
P001,family,48,2025-10-11T03:27:07.584027,joined_queue,Ride2,8,,"{""ride_name"": ""Ride2"", ""queue_position"": 8}"
P001,family,56,2025-10-11T03:27:07.786338,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 56, ""ride_id"": ""Ride2"", ""queue_len"": 7, ""patience_at_leave"": 10}"
P001,family,70,2025-10-11T03:27:08.060731,joined_queue,Ride2,8,,"{""ride_name"": ""Ride2"", ""queue_position"": 8}"
P001,family,77,2025-10-11T03:27:08.121523,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 77, ""ride_id"": ""Ride2"", ""queue_len"": 8, ""patience_at_leave"": 8}"
P001,family,83,2025-10-11T03:27:08.164750,joined_queue,Ride2,8,,"{""ride_name"": ""Ride2"", ""queue_position"": 8}"
P001,family,88,2025-10-11T03:27:08.199484,boarded_ride,Ride2,,5,"{""ride_name"": ""Ride2""}"
P001,family,130,2025-10-11T03:27:08.545568,completed_ride,,,,"{""previous_ride"": ""Ride2""}"
P002,impatient,101,2025-10-11T03:27:08.290467,departed,,,,"{""total_rides"": 0}"
P003,explorer,23,2025-10-11T03:27:07.177430,joined_queue,Ride1,2,,"{""ride_name"": ""Ride1"", ""queue_position"": 2}"
P003,explorer,36,2025-10-11T03:27:07.342810,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 36, ""ride_id"": ""Ride1"", ""queue_len"": 9, ""patience_at_leave"": 3}"
P003,explorer,61,2025-10-11T03:27:07.918263,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P003,explorer,97,2025-10-11T03:27:08.260265,completed_ride,,,,"{""previous_ride"": ""Ride1""}"
P003,explorer,105,2025-10-11T03:27:08.339406,joined_queue,Ride1,2,,"{""ride_name"": ""Ride1"", ""queue_position"": 2}"
P003,explorer,118,2025-10-11T03:27:08.430468,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 118, ""ride_id"": ""Ride1"", ""queue_len"": 9, ""patience_at_leave"": 3}"
P003,explorer,143,2025-10-11T03:27:08.737004,boarded_ride,Ride1,,,"{""ride_name"": ""Ride1""}"
P003,explorer,179,2025-10-11T03:27:08.833554,completed_ride,,,,"{""previous_ride"": ""Ride1""}"
P004,adventurer,40,2025-10-11T03:27:07.442669,joined_queue,Ride2,2,,"{""ride_name"": ""Ride2"", ""queue_position"": 2}"
P004,adventurer,61,2025-10-11T03:27:07.918280,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 61, ""ride_id"": ""Ride2"", ""queue_len"": 7, ""patience_at_leave"": 4}"
P004,adventurer,83,2025-10-11T03:27:08.164792,boarded_ride,Ride2,,,"{""ride_name"": ""Ride2""}"
P004,adventurer,126,2025-10-11T03:27:08.517161,completed_ride,,,,"{""previous_ride"": ""Ride2""}"
P005,family,64,2025-10-11T03:27:07.986194,joined_queue,Ride1,2,,"{""ride_name"": ""Ride1"", ""queue_position"": 2}"
P005,family,79,2025-10-11T03:27:08.140961,abandoned_queue,,,,"{""reason"": ""impatience"", ""time"": 79, ""ride_id"": ""Ride1"", ""queue_len"": 7, ""patience_at_leave"": 3}"
P005,family,99,2025-10-11T03:27:08.271416,joined_queue,Ride1,10,,"{""ride_name"": ""Ride1"", ""queue_position"": 10}"
P005,family,102,2025-10-11T03:27:08.304237,boarded_ride,Ride1,,3,"{""ride_name"": ""Ride1""}"
P005,family,138,2025-10-11T03:27:08.667458,completed_ride,,,,"{""previous_ride"": ""Ride2""}"
P005,family,168,2025-10-11T03:27:08.826460,joined_queue,Ride1,3,,"{""ride_name"": ""Ride1"", ""queue_position"": 3}"
P005,family,178,2025-10-11T03:27:08.833119,abandoned_queue,,,,"{""reason"": ""impatience""}"
P005,family,184,2025-10-11T03:27:08.838521,boarded_ride,Ride1,,3,"{""ride_name"": ""Ride1""}"
P006,impatient,60,2025-10-11T03:27:07.893804,departed,,,,"{""total_rides"": 0}"
P008,adventurer,52,2025-10-11T03:27:07.676336,departed,,,,"{""total_rides"": 0}"
P009,family,81,2025-10-11T03:27:08.154500,departed,,,,"{""total_rides"": 0}"
P010,impatient,120,2025-10-11T03:27:08.451605,departed,,,,"{""total_rides"": 0}"
P011,explorer,192,2025-10-11T03:27:08.848280,departed,,,,"{""total_rides"": 0}"
P012,adventurer,19,2025-10-11T03:27:07.139353,joined_queue,Ride1,6,,"{""ride_name"": ""Ride1"", ""queue_position"": 6}"
P012,adventurer,23,2025-10-11T03:27:07.178495,boarded_ride,Ride1,,3,"{""ride_name"": ""Ride1""}"
P012,adventurer,58,2025-10-11T03:27:07.849400,completed_ride,,,,"{""previous_ride"": ""Ride1""}"
P012,adventurer,61,2025-10-11T03:27:07.918521,joined_queue,Ride1,10,,"{""ride_name"": ""Ride1"", ""queue_position"": 10}"
